Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 6 Step 351 | total=0.4603 mse=0.4593 hce=0.0032
Epoch 6 Step 401 | total=0.5374 mse=0.5363 hce=0.0037
Epoch 6 Step 451 | total=0.5138 mse=0.5129 hce=0.0029
Epoch 6 Step 501 | total=0.5152 mse=0.5141 hce=0.0035
Epoch 6 Step 551 | total=0.5140 mse=0.5132 hce=0.0029
Epoch 6 Step 601 | total=0.5329 mse=0.5321 hce=0.0028
Epoch 6 Step 651 | total=0.4751 mse=0.4732 hce=0.0064
Epoch 6 Step 701 | total=0.4619 mse=0.4614 hce=0.0019
Epoch 6 Step 751 | total=0.5208 mse=0.5195 hce=0.0042
Epoch 6 Step 801 | total=0.6004 mse=0.5993 hce=0.0037
Epoch 6 Step 851 | total=0.4765 mse=0.4727 hce=0.0129
Epoch 6 Step 901 | total=0.5249 mse=0.5171 hce=0.0262
Epoch 6 Step 951 | total=0.5425 mse=0.5417 hce=0.0025
Epoch 6 Step 1001 | total=0.4628 mse=0.4622 hce=0.0019
Epoch 6 Step 1051 | total=0.5267 mse=0.5231 hce=0.0121
Epoch 6 Step 1101 | total=0.5036 mse=0.4985 hce=0.0167
Epoch 6 Step 1151 | total=0.4779 mse=0.4768 hce=0.0037
Epoch 6 Step 1201 | total=0.4659 mse=0.4648 hce=0.0039
Epoch 6 Step 1251 | total=0.4543 mse=0.4531 hce=0.0039
Epoch 6 Step 1301 | total=0.5437 mse=0.5429 hce=0.0024
Epoch 6 Step 1351 | total=0.5397 mse=0.5389 hce=0.0026
Epoch 6 Step 1401 | total=0.5569 mse=0.5559 hce=0.0035
Epoch 6 Step 1451 | total=0.4646 mse=0.4608 hce=0.0124
Epoch 6 Step 1501 | total=0.4440 mse=0.4429 hce=0.0036
Epoch 6 Step 1551 | total=0.5423 mse=0.5390 hce=0.0107
Epoch 6: Val MSE=0.0738 | Val Pearson=0.8163 | HCE loss=0.0052
Epoch 7 Step 1 | total=0.5293 mse=0.5285 hce=0.0026
Epoch 7 Step 51 | total=0.6071 mse=0.6057 hce=0.0049
Epoch 7 Step 101 | total=0.4935 mse=0.4903 hce=0.0110
Epoch 7 Step 151 | total=0.5321 mse=0.5311 hce=0.0033
Epoch 7 Step 201 | total=0.5828 mse=0.5819 hce=0.0031
Epoch 7 Step 251 | total=0.5417 mse=0.5410 hce=0.0022
Epoch 7 Step 301 | total=0.5113 mse=0.5105 hce=0.0026
Epoch 7 Step 351 | total=0.4944 mse=0.4935 hce=0.0030
Epoch 7 Step 401 | total=0.6070 mse=0.6055 hce=0.0050
Epoch 7 Step 451 | total=0.4895 mse=0.4886 hce=0.0032
Epoch 7 Step 501 | total=0.5042 mse=0.5034 hce=0.0030
Epoch 7 Step 551 | total=0.5470 mse=0.5461 hce=0.0029
Epoch 7 Step 601 | total=0.6058 mse=0.6048 hce=0.0035
Epoch 7 Step 651 | total=0.5214 mse=0.5206 hce=0.0025
Epoch 7 Step 701 | total=0.4870 mse=0.4860 hce=0.0036
Epoch 7 Step 751 | total=0.5092 mse=0.5084 hce=0.0029
Epoch 7 Step 801 | total=0.5098 mse=0.5086 hce=0.0040
Epoch 7 Step 851 | total=0.6687 mse=0.6675 hce=0.0042
Epoch 7 Step 901 | total=0.5656 mse=0.5645 hce=0.0038
Epoch 7 Step 951 | total=0.6395 mse=0.6385 hce=0.0035
Epoch 7 Step 1001 | total=0.4881 mse=0.4819 hce=0.0206
Epoch 7 Step 1051 | total=0.5360 mse=0.5351 hce=0.0028
Epoch 7 Step 1101 | total=0.6134 mse=0.6124 hce=0.0033
Epoch 7 Step 1151 | total=0.4796 mse=0.4789 hce=0.0025
Epoch 7 Step 1201 | total=0.5809 mse=0.5801 hce=0.0029
Epoch 7 Step 1251 | total=0.5314 mse=0.5306 hce=0.0025
Epoch 7 Step 1301 | total=0.5409 mse=0.5395 hce=0.0044
Epoch 7 Step 1351 | total=0.5079 mse=0.5072 hce=0.0021
Epoch 7 Step 1401 | total=0.4447 mse=0.4439 hce=0.0027
Epoch 7 Step 1451 | total=0.4942 mse=0.4935 hce=0.0023
Epoch 7 Step 1501 | total=0.4936 mse=0.4927 hce=0.0028
Epoch 7 Step 1551 | total=0.5405 mse=0.5393 hce=0.0037
